Package	Version	Built
RSiena	1.3.10	4.2.1
askpass	1.2.0	4.2.3
assertthat	0.2.1	4.2.3
automap	1.0-16	4.2.1
backports	1.5.0	4.2.3
base	4.2.1	4.2.1
base64enc	0.1-3	4.2.3
bit	4.0.5	4.2.3
bit64	4.0.5	4.2.3
blob	1.2.4	4.2.3
broom	1.0.6	4.2.3
bslib	0.7.0	4.2.3
cachem	1.1.0	4.2.3
callr	3.7.6	4.2.3
caret	6.0-94	4.2.3
cellranger	1.1.0	4.2.3
checkmate	2.3.1	4.2.3
class	7.3-22	4.2.3
classInt	0.4-10	4.2.3
cli	3.6.3	4.2.3
clipr	0.8.0	4.2.3
clock	0.7.0	4.2.3
cluster	2.1.6	4.2.3
coda	0.19-4.1	4.2.3
codetools	0.2-20	4.2.3
colorspace	2.1-0	4.2.3
compiler	4.2.1	4.2.1
conquer	1.3.3	4.2.3
countrycode	1.6.0	4.2.3
cpp11	0.5.2	4.2.3
crayon	1.5.3	4.2.3
curl	4.3.3	4.2.1
data.table	1.15.4	4.2.3
datasets	4.2.1	4.2.1
DBI	1.2.3	4.2.3
dbplyr	2.5.0	4.2.3
deldir	2.0-4	4.2.3
diagram	1.6.5	4.2.3
digest	0.6.36	4.2.3
dplyr	1.1.4	4.2.3
dtplyr	1.3.1	4.2.3
e1071	1.7-14	4.2.3
ellipsis	0.3.2	4.2.3
evaluate	0.24.0	4.2.3
fansi	1.0.6	4.2.3
farver	2.1.2	4.2.3
fastmap	1.2.0	4.2.3
FNN	1.1.4	4.2.3
fontawesome	0.5.2	4.2.3
forcats	1.0.0	4.2.3
foreach	1.5.2	4.2.3
foreign	0.8-87	4.2.3
Formula	1.2-5	4.2.3
fs	1.6.4	4.2.3
future	1.33.2	4.2.3
future.apply	1.11.2	4.2.3
gargle	1.5.2	4.2.3
gdata	3.0.0	4.2.3
geepack	1.3.11	4.2.3
generics	0.1.3	4.2.3
ggplot2	3.5.1	4.2.3
globals	0.16.3	4.2.3
glue	1.7.0	4.2.3
googledrive	2.1.1	4.2.3
googlesheets4	1.1.1	4.2.3
gower	1.0.1	4.2.3
graphics	4.2.1	4.2.1
grDevices	4.2.1	4.2.1
grid	4.2.1	4.2.1
gridExtra	2.3	4.2.3
gstat	2.0-9	4.2.1
gtable	0.3.5	4.2.3
gtools	3.9.5	4.2.3
hardhat	1.4.0	4.2.3
