"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58"
2,-4,-8,10,10,6,20,-8,-8,-6,-4,-28,4,4,14,8,6,10,-10,-31.9999999999991,476,-12.4791742556281,-12.3537773262397,50.9305056728222,170.092169510244,-20.0286964503734,-12.1338318333264,28.8094736842118,11.6400773067653,-2,-4,-4,-8,-11,-7,-3,3,-2,3,-2,3,-5,7,0,3,2,2,-1.00000000000013,82.6405363623198,-61.9999999999999,-181,10.5343859649124,-1.13504010367,16.1199999999999,820.96,-7.94035087719297,-2.62882309168197,0.503159923196936
-2,-2,-22,-8,2,-6,-4,-16,-2,8,12,-6,-8,-8,0,4,10,-14,-47,-7.00000000000091,-3024,109.666060278256,-25.2640162553807,-5.78678312301236,-130.193496219305,-10.9669277865407,4.82413630437421,-11.6459649122799,-34.3414427009066,-10,5,-2,1,-3,-5,-9,-4,5,8,-7,8,-1,-1,-7,4,3,0,38.9999999999999,-74.9809181304581,79.0000000000001,189,13.1589473684211,-1.68273795069435,2.32000000000007,-31.4399999999996,4.67368421052632,9.39579224204874,-0.175727684594733
-2,-4,2,16,4,8,8,12,-16,24,22,-14,4,14,-20,22,-12,14,41,79.9999999999991,3672,-76.5807170219014,41.2498017093103,-11.3118763410343,390.910830307694,14.479088130186,-27.3403817681381,12.7677192982469,170.908254913225,1,-3,2,6,1,-9,1,8,-3,-7,1,-4,-5,-1,0,0,-1,0,32.9999999999998,16.8623000434582,360,1001,8.36526315789484,0.436610182682913,-0.960000000000036,653.32,6.03157894736844,-11.208477670039,-0.018849446409277
-4,10,-6,4,12,-14,16,6,10,4,4,-6,14,-14,-2,16,12,-8,11,-11.0000000000009,1856,145.819347830995,-25.7831011772678,82.0913255555233,40.3735131504945,3.36867809177579,-49.8432181739167,-9.6347368421043,93.6681661874391,-12,7,8,5,3,-4,-4,-4,-5,0,3,2,-3,2,-9,-3,-5,9,-18.0000000000001,-92.4703454782502,-201,-599,0.618947368421061,1.81348402335763,1.16000000000003,-651.719999999999,5.07368421052635,18.3950642149923,-0.414234731590099
-2,4,16,4,-2,14,-4,0,12,-10,4,-18,-2,6,4,20,4,0,9,68.9999999999991,2356,18.3553817735519,29.6320081276899,28.1836631598617,-18.110985618674,-4.51653610672906,-53.7418772681181,24.5715789473693,-43.9772417731056,-6,-2,6,11,-5,-2,-2,8,-2,-2,5,-10,-3,-6,5,-7,7,-9,-4.00000000000004,-17.4378545507225,-238,-561,11.1375438596492,1.21867222523408,2.48,-240.159999999999,-1.76140350877192,-28.6025369907128,-0.853596540949532
8,6,0,24,16,-8,28,6,22,16,-8,-20,6,-2,8,-12,6,10,45,34.9999999999991,2080,-43.4581454421714,26.1884697305923,-23.3830467511034,152.084820367556,2.39299877906478,23.4569364202646,13.0270175438604,95.6969949310587,9,9,11,7,13,13,-1,-4,5,2,-2,4,-4,-3,-2,2,-3,-11,-13.0000000000001,-57.6730272898476,-94.9999999999999,-405,12.9470175438598,-0.903853860755053,-5.43999999999995,252.479999999999,-3.22456140350879,10.2751309195677,-1.01036049110552
-8,2,-10,-18,0,10,-8,-4,6,-6,18,20,-6,26,8,2,10,0,11,102,1664,-39.8136217512729,10.2168988227331,-86.4660135452295,292.192111175595,-0.631321908224209,-55.1242908985555,-1.63473684210385,93.4725099853913,4,6,-5,-13,1,1,-4,4,-7,0,3,10,-2,0,2,0,-7,-3,-16,-15.751418202889,67.9999999999999,430,2.55017543859651,1.69797585680128,-12.0799999999999,-443.639999999999,-0.045614035087695,22.8420740336792,0.483381294264809
4,6,4,-2,-14,-10,-2,-4,-4,2,-22,-8,-6,-6,-6,4,2,-34,-72,-7.00000000000091,-5824,29.3055707944604,-32.0658057731553,48.3300746339778,-464.769513039013,-8.22082007682047,-66.2178955579252,-41.3922807017534,-176.100413520642,7,-9,-1,1,6,-6,0,8,3,4,-2,1,0,-2,-3,-2,0,10,4.9999999999999,16.7973181884026,136,545,4.32807017543865,-5.5723582836486,9.39999999999998,754.2,1.70175438596493,-34.2610403144622,-0.651885585787237
0,0,6,-16,-22,12,8,6,10,-2,10,32,6,-12,14,-16,12,-8,-12,38.9999999999991,984,22.8868318727018,8,-38.7321526318251,-181.108690385227,-15.9999999999995,-69.5716863840487,18.4126315789481,-21.2314066974523,3,10,-7,-5,10,-4,-3,7,-3,4,4,6,-5,6,-6,-6,11,-2,-44.0000000000001,2.18359994205548,-26.0000000000003,-45,0.512982456140435,-1.38681705894248,-11.72,401.24,-6.37543859649122,1.99612375243294,-0.490674920056211
-4,4,-10,2,-4,12,10,-2,-20,-26,6,10,6,10,14,12,-10,2,10,-124,616,45.4655277560178,-17.4293238510281,42.6168179651013,-204.937289519708,-28.6026254578505,12.6175863695627,-43.5659649122795,-3.74386480311659,-1,-1,-9,-1,-7,-4,8,-1,2,7,-6,-13,0,0,-3,-4,-6,3,23.9999999999999,12.627127304334,159,599,11.1747368421053,-1.94572093849622,15.1199999999999,392.959999999999,-6.43157894736842,1.95855114800895,-0.26350537715042
