"name","type","shortName","interaction1","interaction2","parm","period","group","groupName","rateType","basicRate","effect1","effect2","effect3","timeDummy","setting","fit_index","theta","observed_target","saved_t_ratio"
"dv.net","rate","Rate","","",0,"1",1,"Group1",NA,TRUE,0,0,0,",","",1,0.0470882207990354,10,-0.00708267697224426
"dv.net","rate","Rate","","",0,"2",1,"Group1",NA,TRUE,0,0,0,",","",2,0.139520329764014,34,0.00286157154545682
"dv.net","rate","Rate","","",0,"3",1,"Group1",NA,TRUE,0,0,0,",","",3,0.429740484890003,86,0.0382037761210656
"dv.net","rate","Rate","","",0,"4",1,"Group1",NA,TRUE,0,0,0,",","",4,0.347792721534046,94,-0.0286804283380509
"dv.net","rate","Rate","","",0,"5",1,"Group1",NA,TRUE,0,0,0,",","",5,0.323407920806069,76,-0.0491984500044674
"dv.net","rate","Rate","","",0,"6",1,"Group1",NA,TRUE,0,0,0,",","",6,0.318320009185151,76,-0.0516881774491423
"dv.net","rate","Rate","","",0,"7",1,"Group1",NA,TRUE,0,0,0,",","",7,0.397769015962525,94,0.0329658616881401
"dv.net","rate","Rate","","",0,"8",1,"Group1",NA,TRUE,0,0,0,",","",8,0.308564220644212,78,0.0263920447763093
"dv.net","rate","Rate","","",0,"9",1,"Group1",NA,TRUE,0,0,0,",","",9,0.32688706768387,84,0.038154697718926
"dv.net","rate","Rate","","",0,"10",1,"Group1",NA,TRUE,0,0,0,",","",10,0.27452499634187,72,0.00369495061367292
"dv.net","rate","Rate","","",0,"11",1,"Group1",NA,TRUE,0,0,0,",","",11,0.322802081462104,84,-0.00533898704909593
"dv.net","rate","Rate","","",0,"12",1,"Group1",NA,TRUE,0,0,0,",","",12,0.446394101216771,114,-0.00824897229087989
"dv.net","rate","Rate","","",0,"13",1,"Group1",NA,TRUE,0,0,0,",","",13,0.353881176527947,94,-0.0139600394145023
"dv.net","rate","Rate","","",0,"14",1,"Group1",NA,TRUE,0,0,0,",","",14,0.323601743722675,88,-0.0345720290821442
"dv.net","rate","Rate","","",0,"15",1,"Group1",NA,TRUE,0,0,0,",","",15,0.289857744301206,80,-0.0160290744529277
"dv.net","rate","Rate","","",0,"16",1,"Group1",NA,TRUE,0,0,0,",","",16,0.515942236853011,138,0.0447550197093703
"dv.net","rate","Rate","","",0,"17",1,"Group1",NA,TRUE,0,0,0,",","",17,0.342149146081847,96,0.0758793231091074
"dv.net","rate","Rate","","",0,"18",1,"Group1",NA,TRUE,0,0,0,",","",18,0.396269800534186,112,-0.01287233423329
"dv.net","eval","density","","",0,NA,1,"Group1",NA,FALSE,0,0,0,",","",19,-5.53739569272451,5257,0.0201162922814332
"dv.net","eval","transTriads","","",0,NA,1,"Group1",NA,FALSE,0,0,0,",","",20,0.158397450952701,7339,0.023408105874701
"dv.net","eval","degPlus","","",1,NA,1,"Group1",NA,FALSE,0,0,0,",","",21,0.0572362230098831,333172,0.0240621412427495
