"index","mean"
1,-0.03
2,0.024
3,0.488
4,-0.41
5,-0.584
6,-0.622
7,0.424
8,0.328
9,0.474
10,0.044
11,-0.066
12,-0.122
13,-0.18
14,-0.438
15,-0.2
16,0.736
17,1.026
18,-0.194
19,0.575
20,2.10599999999978
21,68.112
22,-3.32930267000875
23,1.29630041262276
24,-2.31873471657936
25,-1.78907160474738
26,-0.458925023838997
27,-1.30249895520785
28,0.303502456141573
29,0.909516639598989
30,0.091
31,-0.085
32,-0.455
33,-0.295
34,-0.033
35,-0.116
36,0.279
37,0.205
38,-0.066
39,0.06
40,-0.116
41,-0.187
42,-0.049
43,0.102
44,-0.159
45,-0.171
46,-0.096
47,0.019
48,-1.06000000000008
49,-2.38703145594174
50,-4.53200000000012
51,-8.09900000000005
52,-0.437550877192906
53,-0.0563202953189362
54,-0.137799999999983
55,10.5896000000001
56,0.0352280701754528
57,0.179143662403677
58,-0.0107627265100724
