"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58"
-2,-14,12,-4,0,2,-8,2,-10,-10,-4,-8,6,4,8,-2,-8,10,-25,33,-1348,16.4615420334903,-9.40089475888726,-72.1306452448171,-39.1443759317553,10.3730538548605,53.4971635942215,-10.6933333333322,-3.62557583918169,5,-5,-4,3,-6,-12,-3,4,0,4,0,-4,-3,1,5,3,2,-10,17.9999999999999,106.47034547825,-170,-642,-7.61894736842095,0.154491567912375,-4.1600000000001,-314.280000000001,5.9263157894737,15.9376935145314,0.253777471654725
-4,-4,-10,-10,-8,-8,-24,-14,6,24,-14,-8,-30,30,10,-2,12,10,-12,30.9999999999991,2476,28.7561090300369,-20.0000000000009,99.6103491257682,-199.739487846819,18.0000000000005,-41.2906136594102,-24.587368421051,-91.8068178384692,1,-2,2,0,2,3,-1,0,-2,0,2,-3,-1,-3,4,1,1,5,34.9999999999999,61.5812273188203,-72.0000000000002,-290,1.29649122807024,1.51380039145883,-0.199999999999932,-163.599999999999,-6.08771929824562,-3.66645013278674,0.711551963245995
2,-4,-4,-6,4,-18,-12,-2,18,-4,2,0,22,26,14,-22,-4,-22,-27,-84.0000000000009,-3256,98.9502358230875,-7.98578545392957,-22.928804622672,-371.833115841837,-5.51216034364393,72.5985045000203,-24.4870175438582,-157.952671013491,-1,-3,4,4,-9,4,-1,7,-10,6,3,-5,-6,4,11,0,2,0,-14.0000000000001,260.967509072472,-237,-360,-1.51859649122798,-1.15739961766597,-18.32,-463.559999999999,0.835087719298272,5.34337353185708,1.42319547590432
4,-8,2,2,2,10,-20,6,2,8,6,20,2,14,-16,8,-12,6,22,-87,-1184,-1.18005876005373,-2.02842909214087,1.12915189943942,-150.147059570496,1.02432068728967,13.2906136594102,22.0743859649137,-41.4504027872736,-1,-4,-7,-4,3,-8,1,-2,6,-18,3,4,-4,7,2,0,-2,-2,27.9999999999999,50.0649818550555,-24.0000000000001,65,1.03719298245625,1.62245916484152,-6.35999999999999,-78.880000000001,-0.670175438596459,-1.41094163311357,1.03616744073253
2,-10,20,0,-6,-4,-12,12,-4,2,-22,-20,-20,-2,20,12,-2,20,31,12,900,-39.2914021606375,6.787574971705,-38.0366975935362,152.055997472307,28.766052633925,36.3460545796954,-4.54456140350749,34.9228113504923,-2,-3,4,2,-10,-4,-7,-6,-3,-9,-3,-1,2,7,6,-1,-6,-3,-27,-12.7055182173763,-243,-341.999999999999,0.42842105263162,1.07190752241806,-8.75999999999991,-872.079999999999,-4.38947368421051,-4.87425379124727,-0.574059062589232
-2,2,14,2,8,2,-12,0,24,14,10,22,14,-28,2,-10,-10,0,14,-35.0000000000009,-1476,-77.3787521018057,22.8017895177745,-74.4438436891455,13.6965631746862,-6.74610770971981,-107.764827260875,9.62456140351014,73.3551019587157,-6,11,0,-6,-3,-6,-1,-1,-6,-2,2,-5,-4,2,-7,-8,9,2,24.9999999999999,71.9865909420141,-61.0000000000004,-281,-9.35964912280696,-0.55848134978623,-15,307.000000000001,9.50877192982458,0.206284082017419,0.0656595698868045
4,-10,14,0,-10,-32,22,2,-4,2,-4,-8,-4,-18,12,18,20,-2,17,65,3716,-6.88719517406571,9.74045753905648,8.22464330401726,-70.5197468193001,-14.8321970608415,-26.6864363478333,-8.5817543859639,-41.0268955289703,-5,-11,7,0,0,7,2,2,0,9,3,21,14,1,14,1,-1,-6,-42.0000000000001,-277.097472782584,-414,-850,-3.55578947368406,-2.65688574611249,-7.95999999999992,-357.679999999999,1.50526315789475,-32.2578670262806,-0.778910557236959
-4,4,-2,4,0,-6,6,-2,10,-18,16,-14,-12,10,-4,-14,12,-22,-14,-42,-2464,-97.2236754592468,-16.938668021282,-58.2451548856393,-77.745212559661,-3.91391064887807,17.8891181594303,-2.91543859649028,-46.4257626709168,1,-1,0,5,1,2,2,-1,-3,5,-2,0,3,1,-3,-1,0,2,3,90.0783909130414,-338,-964,-16.6031578947368,3.97391053175366,-23.36,-1015.88,7.82105263157897,-2.19097866418417,0.288528589715749
-6,2,-2,-2,2,-12,-32,8,-12,-14,-28,32,16,0,8,28,26,14,10,20,2228,-78.6401349865264,-5.07554652478848,-79.6916772250911,-110.292027930627,9.42607099252359,-149.281072724639,11.9684210526329,-88.0449363550579,-2,-9,1,-7,0,-6,10,-1,-2,-8,-8,-8,0,-4,7,-6,-5,-3,-11,-32.9541000144864,-23.0000000000001,-272,12.8782456140351,-0.617026639683227,12.32,166.56,-9.34385964912279,-1.65366715530536,-0.606621367299187
-2,-2,-2,10,10,-10,22,18,-2,10,16,6,14,-14,2,8,-2,8,25,39,2464,8.24855230291723,19.2640162553807,-52.9870198034441,312.352179315312,-23.0330722134586,31.2676636666528,21.4024561403521,170.917359916337,-11,-5,-16,-3,-1,-3,0,-4,1,0,7,-7,6,4,-5,5,-2,-2,19.9999999999999,57.1892727536115,15.9999999999997,56.9999999999995,2.31228070175445,0.481715775488284,1.60000000000003,-524.199999999999,5.80701754385967,18.2698897795857,0.239852258160024
