fit,seed,reused_pilot,native_valid,warnings,elapsed_seconds,prefix1000_maximum_t,prefix1000_overall,prefix1000_pass,full3000_maximum_t,full3000_overall,full3000_pass
attempt3,2009301,True,True,0,819.886,0.0942296442808812,0.26208269327212586,False,0.05091503518965382,0.19081938270781273,True
attempt3,2009302,False,True,0,943.658,0.08969030411754782,0.3146494824432911,False,0.06153953387837911,0.23248434850816904,True
attempt3,2009303,False,True,0,850.3750000000001,0.08037423736840514,0.2533797544743977,False,0.06541577210706118,0.18376683860755733,True
attempt3,2009304,False,True,0,471.937,0.08543194208498547,0.27183692606291043,False,0.05887614408411444,0.19514899039008324,True
attempt3,2009305,False,True,0,818.042,0.08625251658661764,0.2850037576537165,False,0.06094534693183619,0.20381217657943543,True
attempt4,2009401,False,True,0,813.528,0.07865426417903075,0.2680936541191433,False,0.04646872423610117,0.15466152118748874,True
attempt4,2009402,False,True,0,786.342,0.08044353327892512,0.2829497030549351,False,0.061573791636679844,0.1547742096395391,True
attempt4,2009403,False,True,0,805.014,0.05798694930978512,0.2558343757096253,False,0.04263948321780301,0.15285578669325725,True
attempt4,2009404,False,True,0,800.527,0.1122508218689186,0.2564473196592991,False,0.045648577594189006,0.14369850790678945,True
attempt4,2009405,False,True,0,819.857,0.08169119791665934,0.2532948334348651,False,0.06669920800900289,0.15826135458792606,True
