"name","effectName","functionName","shortName","interaction1","interaction2","type","basicRate","include","randomEffects","fix","test","timeDummy","initialValue","parm","functionType","period","rateType","untrimmedValue","effect1","effect2","effect3","interactionType","local","setting","netType","groupName","group","effectNumber"
"dv.net","basic rate parameter dv.net","Amount of network change","Rate","","","rate",TRUE,TRUE,FALSE,TRUE,FALSE,",",0.338206940642201,0,"rate","1",NA,0,0,0,0,"",FALSE,"","oneMode","Group1",1,1
"dv.net","degree (density)","Number of edges","density","","","eval",FALSE,TRUE,TRUE,TRUE,FALSE,",",-5.73479581003883,0,"objective",NA,NA,0,0,0,0,"ego",FALSE,"","oneMode","Group1",1,14
"dv.net","transitive triads","Number of transitive triads","transTriads","","","eval",FALSE,TRUE,FALSE,TRUE,FALSE,",",0.183458959449727,0,"objective",NA,NA,0,0,0,0,"",FALSE,"","oneMode","Group1",1,17
"dv.net","degree act+pop","Sum of squared degrees","degPlus","","","eval",FALSE,TRUE,FALSE,TRUE,FALSE,",",0.0608179684121391,1,"objective",NA,NA,0,0,0,0,"",FALSE,"","oneMode","Group1",1,47
"dv.net","nets.ATOP_d","Sum of ties x nets.ATOP_d","X","nets.ATOP_d","","eval",FALSE,TRUE,FALSE,TRUE,FALSE,",",1.14409046898784,0,"objective",NA,NA,0,0,0,0,"dyadic",FALSE,"","oneMode","Group1",1,85
"dv.net","nets.lndistance_d","Sum of ties x nets.lndistance_d","X","nets.lndistance_d","","eval",FALSE,TRUE,FALSE,TRUE,FALSE,",",-0.905650300807821,0,"objective",NA,NA,0,0,0,0,"dyadic",FALSE,"","oneMode","Group1",1,114
"dv.net","nets.absidealdiff_d","Sum of ties x nets.absidealdiff_d","X","nets.absidealdiff_d","","eval",FALSE,TRUE,FALSE,TRUE,FALSE,",",-0.642558495336465,0,"objective",NA,NA,0,0,0,0,"dyadic",FALSE,"","oneMode","Group1",1,143
"dv.net","nets.lntrade_d","Sum of ties x nets.lntrade_d","X","nets.lntrade_d","","eval",FALSE,TRUE,FALSE,TRUE,FALSE,",",0.0708890767740699,0,"objective",NA,NA,0,0,0,0,"dyadic",FALSE,"","oneMode","Group1",1,172
"dv.net","nets.NATO_d","Sum of ties x nets.NATO_d","X","nets.NATO_d","","eval",FALSE,TRUE,FALSE,TRUE,FALSE,",",-3.79862897139721,0,"objective",NA,NA,0,0,0,0,"dyadic",FALSE,"","oneMode","Group1",1,201
"dv.net","beh.democracy_1 alter","Sum of degrees x beh.democracy_1","altX","beh.democracy_1","","eval",FALSE,TRUE,FALSE,TRUE,FALSE,",",1.61713566027629,0,"objective",NA,NA,0,0,0,0,"dyadic",FALSE,"","oneMode","Group1",1,230
"dv.net","beh.lncinc_1 alter","Sum of degrees x beh.lncinc_1","altX","beh.lncinc_1","","eval",FALSE,TRUE,FALSE,TRUE,FALSE,",",0.816222257781566,0,"objective",NA,NA,0,0,0,0,"dyadic",FALSE,"","oneMode","Group1",1,986
"dv.net","milex.beh alter","Sum of degrees x milex.beh","altX","milex.beh","","eval",FALSE,TRUE,FALSE,TRUE,FALSE,",",-0.0658000778563619,0,"objective",NA,NA,0,0,0,0,"dyadic",FALSE,"","oneMode","Group1",1,1238
"milex.beh","rate milex.beh period 1","Amount of behavioral change","Rate","","","rate",TRUE,TRUE,FALSE,TRUE,FALSE,",",0.358365128358906,0,"rate","1",NA,0,0,0,0,"",FALSE,"","behavior","Group1",1,1400
"milex.beh","milex.beh linear shape","milex.beh centered sum","linear","","","eval",FALSE,TRUE,FALSE,TRUE,FALSE,",",-1.16876827355546,0,"objective",NA,NA,0.0665155225752839,0,0,0,"OK",TRUE,"","behavior","Group1",1,1430
