year,offset,seed,pr_auc,brier,spending_rmse,formation_pr_auc,dissolution_pr_auc
2006,101,2006101,0.8877374297348755,0.005471488600628931,0.3669417887292063,0.017367659363781738,0.09918554793691746
2007,101,2007101,0.9424254564225114,0.004090373270440251,0.3636443100208311,0.038772691665003634,0.023454087203492693
2008,101,2008101,0.916510985637105,0.00450585605345912,0.4410418471742836,0.02333837687265818,0.03340043909363865
2009,101,2009101,0.9430006815609652,0.003407738286163522,0.3936675068636792,0.012624003190205834,0.04766071322063784
2006,102,2006102,0.8878269369194313,0.0054821731918238996,0.3699406602487258,0.015270982535782162,0.10159326405296085
2007,102,2007102,0.9372834539990749,0.004089105738993711,0.3649219004404266,0.03886275601096473,0.02054150537741248
2008,102,2008102,0.9180346743988914,0.004505876493710692,0.4406149423218194,0.02284722816664623,0.031726909239141586
2009,102,2009102,0.9526152858545793,0.003410292610062893,0.3918503312735684,0.01442160144773266,0.04825073936163274
2006,103,2006103,0.8851994709531792,0.005480533018867925,0.36763394444102027,0.016456682831905076,0.061134336877266535
2007,103,2007103,0.939817806133853,0.004090241981132075,0.3638622317364232,0.04154640368968474,0.021927197550619483
2008,103,2008103,0.9159384727468507,0.004488924685534591,0.4426600399391209,0.024797661385851315,0.03206600300180394
2009,103,2009103,0.9495399223824248,0.0034044068396226414,0.39585324058225185,0.013388820307346694,0.049132438330668944
2006,104,2006104,0.881122388785682,0.005486800314465409,0.3685489148424927,0.014794854698923778,0.059710092811539994
2007,104,2007104,0.9361841525534731,0.004099351415094339,0.3619252067253093,0.04080074508656342,0.020271415690032407
2008,104,2008104,0.9168688990441042,0.0045025606918238995,0.4404421424227225,0.023120664784772517,0.03111941792772372
2009,104,2009104,0.9499803816835413,0.0034119758647798743,0.39311773845934594,0.013240804700819649,0.04851205684102768
2006,105,2006105,0.8863265382856034,0.005488858176100629,0.36858080418074723,0.015001678294255609,0.062046020141573024
2007,105,2007105,0.9371354528515293,0.004102076729559748,0.363066417731261,0.040725506709219005,0.02114020612163106
2008,105,2008105,0.9168093832628331,0.004488757625786164,0.4408899701211456,0.024244605987642772,0.03197938544816135
2009,105,2009105,0.9525621873295494,0.0033919088836477985,0.3931939851190184,0.014389319284202548,0.051411702362153186
