"attempt","eigen_index","eigenvalue","squared_ratio_contribution","fraction_of_squared_ratio","index","effect","standardized_eigen_loading"
3,28,0.941611574328917,0.0108947112491473,0.159511001038432,44,"milex.beh :: rate milex.beh (period 15)",0.463245504135938
3,28,0.941611574328917,0.0108947112491473,0.159511001038432,37,"milex.beh :: rate milex.beh (period 8)",0.24311083579707
3,28,0.941611574328917,0.0108947112491473,0.159511001038432,17,"dv.net :: constant dv.net rate (period 17)",-0.239631969560563
3,28,0.941611574328917,0.0108947112491473,0.159511001038432,45,"milex.beh :: rate milex.beh (period 16)",0.228701096300169
3,28,0.941611574328917,0.0108947112491473,0.159511001038432,13,"dv.net :: constant dv.net rate (period 13)",0.222036293319525
3,28,0.941611574328917,0.0108947112491473,0.159511001038432,8,"dv.net :: constant dv.net rate (period 8)",-0.221230427125928
3,28,0.941611574328917,0.0108947112491473,0.159511001038432,6,"dv.net :: constant dv.net rate (period 6)",0.210821256228477
3,28,0.941611574328917,0.0108947112491473,0.159511001038432,27,"dv.net :: milex.beh alter",0.202726548761875
3,56,0.110474276510591,0.00662429993588098,0.0969873078585628,29,"dv.net :: beh.lncinc_1 alter",0.641321449189667
3,56,0.110474276510591,0.00662429993588098,0.0969873078585628,25,"dv.net :: nets.lntrade_d",-0.576924392034603
3,56,0.110474276510591,0.00662429993588098,0.0969873078585628,19,"dv.net :: degree (density)",-0.308275704625138
3,56,0.110474276510591,0.00662429993588098,0.0969873078585628,22,"dv.net :: nets.lndistance_d",-0.307734028053246
3,56,0.110474276510591,0.00662429993588098,0.0969873078585628,28,"dv.net :: beh.democracy_1 alter",0.126582126154604
3,56,0.110474276510591,0.00662429993588098,0.0969873078585628,23,"dv.net :: nets.ATOP_d",0.0924770196010592
3,56,0.110474276510591,0.00662429993588098,0.0969873078585628,27,"dv.net :: milex.beh alter",-0.0647125804372873
3,56,0.110474276510591,0.00662429993588098,0.0969873078585628,20,"dv.net :: transitive triads",-0.0628464929632634
3,36,0.810128082676967,0.0046418666626825,0.0679622232401398,7,"dv.net :: constant dv.net rate (period 7)",0.3626392461646
3,36,0.810128082676967,0.0046418666626825,0.0679622232401398,56,"milex.beh :: milex.beh: effect from beh.military_1",0.281326928497774
3,36,0.810128082676967,0.0046418666626825,0.0679622232401398,32,"milex.beh :: rate milex.beh (period 3)",-0.280923724488519
3,36,0.810128082676967,0.0046418666626825,0.0679622232401398,6,"dv.net :: constant dv.net rate (period 6)",-0.22787287981365
3,36,0.810128082676967,0.0046418666626825,0.0679622232401398,9,"dv.net :: constant dv.net rate (period 9)",0.205243726772901
3,36,0.810128082676967,0.0046418666626825,0.0679622232401398,16,"dv.net :: constant dv.net rate (period 16)",-0.202498571708966
3,36,0.810128082676967,0.0046418666626825,0.0679622232401398,47,"milex.beh :: rate milex.beh (period 18)",-0.197202354830821
3,36,0.810128082676967,0.0046418666626825,0.0679622232401398,2,"dv.net :: constant dv.net rate (period 2)",0.19475051628264
3,23,1.01394943820887,0.004177206341691,0.0611590660706468,14,"dv.net :: constant dv.net rate (period 14)",0.394737875602325
3,23,1.01394943820887,0.004177206341691,0.0611590660706468,41,"milex.beh :: rate milex.beh (period 12)",0.364709053335906
3,23,1.01394943820887,0.004177206341691,0.0611590660706468,15,"dv.net :: constant dv.net rate (period 15)",0.288194862178508
3,23,1.01394943820887,0.004177206341691,0.0611590660706468,16,"dv.net :: constant dv.net rate (period 16)",-0.246026887823436
3,23,1.01394943820887,0.004177206341691,0.0611590660706468,7,"dv.net :: constant dv.net rate (period 7)",-0.229249009335541
3,23,1.01394943820887,0.004177206341691,0.0611590660706468,11,"dv.net :: constant dv.net rate (period 11)",0.226596366211381
3,23,1.01394943820887,0.004177206341691,0.0611590660706468,40,"milex.beh :: rate milex.beh (period 11)",0.226305691377479
3,23,1.01394943820887,0.004177206341691,0.0611590660706468,39,"milex.beh :: rate milex.beh (period 10)",0.200853606333441
3,46,0.556639940197628,0.0037273526856141,0.0545726953664906,52,"milex.beh :: milex.beh: effect from beh.democracy_1",-0.363286973088949
3,46,0.556639940197628,0.0037273526856141,0.0545726953664906,28,"dv.net :: beh.democracy_1 alter",-0.323089896687688
3,46,0.556639940197628,0.0037273526856141,0.0545726953664906,48,"milex.beh :: milex.beh linear shape",-0.31993638938683
3,46,0.556639940197628,0.0037273526856141,0.0545726953664906,49,"milex.beh :: milex.beh quadratic shape",-0.29024736739455
3,46,0.556639940197628,0.0037273526856141,0.0545726953664906,51,"milex.beh :: milex.beh dense triads",0.261320426073486
3,46,0.556639940197628,0.0037273526856141,0.0545726953664906,54,"milex.beh :: milex.beh: effect from beh.nato_1",-0.253380003633487
3,46,0.556639940197628,0.0037273526856141,0.0545726953664906,44,"milex.beh :: rate milex.beh (period 15)",0.215483748461464
3,46,0.556639940197628,0.0037273526856141,0.0545726953664906,57,"milex.beh :: milex.beh: effect from beh.lnmids_1",0.18010341502357
