name,effectName,shortName,interaction1,interaction2,type,period,parm,effectNumber,estimate_1,se_1,t_ratio_1,estimate_2,se_2,t_ratio_2,estimate_3,se_3,t_ratio_3,change_1_2,change_1_2_in_previous_se,change_1_2_in_latest_se,change_2_3,change_2_3_in_previous_se,change_2_3_in_latest_se,change_1_3,change_1_3_in_previous_se,change_1_3_in_latest_se,update_sign_reversal
dv.net,constant dv.net rate (period 1),Rate,,,rate,1,0,1,0.04632794024856648,0.02107209375184321,-0.06428134401593638,0.04726047868755756,0.0221272990609066,0.03975655843044084,0.04708822079903541,0.023405907791847393,-0.007082676972244259,0.0009325384389910832,0.044254664485322566,0.04214425070245673,-0.00017225788852215373,-0.007784858334856165,-0.007359590153651446,0.0007602805504689295,0.03607997190134115,0.03248242098662569,True
dv.net,constant dv.net rate (period 2),Rate,,,rate,2,0,2,0.14127547994376669,0.03307013265169829,0.06126598068457563,0.1390836927454311,0.03356140209257973,-0.0007155327045636956,0.13952032976401443,0.03318029225001157,0.0028615715454568167,-0.0021917871983355985,-0.0662769400237964,-0.06530678284207299,0.0004366370185833468,0.013010094673007871,0.01315952901479325,-0.0017551501797522517,-0.05307357542946286,-0.05289736951462927,True
dv.net,constant dv.net rate (period 3),Rate,,,rate,3,0,3,0.42517943558812343,0.08144163854594344,-0.10649013007568017,0.4310002030135091,0.08308727547982694,-0.013585825151699992,0.4297404848900026,0.08012109286483345,0.03820377612106558,0.005820767425385676,0.07147163943787824,0.07005606323917699,-0.0012597181235065036,-0.015161384414540768,-0.015722677742697342,0.004561049301879172,0.056003899028948936,0.05692694818296839,True
dv.net,constant dv.net rate (period 4),Rate,,,rate,4,0,4,0.3502829911016159,0.05370719956202386,0.05804003902305823,0.3475842967140561,0.053140849582941914,-0.04503344464436087,0.3477927215340455,0.049498448785809154,-0.0286804283380509,-0.002698694387559819,-0.05024827973842179,-0.050783802079560535,0.00020842481998939455,0.003922120583790938,0.004210734378592253,-0.0024902695675704245,-0.046367518468255486,-0.050310052711881485,True
dv.net,constant dv.net rate (period 5),Rate,,,rate,5,0,5,0.3250924472572988,0.05852816644346254,0.017446415490128653,0.3250252383924875,0.06321530719076063,0.051524351579589484,0.32340792080606867,0.057178922322229125,-0.04919845000446737,-6.720886481131894e-05,-0.0011483165951600728,-0.0010631739019871756,-0.0016173175864188094,-0.025584271567934292,-0.028285205819453752,-0.0016845264512301283,-0.028781466319423476,-0.029460619102561234,False
dv.net,constant dv.net rate (period 6),Rate,,,rate,6,0,6,0.32508057978521254,0.05535886804469908,0.07612067296387441,0.32075037733152345,0.05971581712916913,0.024249293878580942,0.31832000918515085,0.057241445313712454,-0.051688177449142274,-0.0043302024536890915,-0.0782205743475951,-0.07251349243572414,-0.002430368146372597,-0.04069890128298094,-0.042458189744387725,-0.006760570600061688,-0.1221226307337592,-0.118106217671659,False
dv.net,constant dv.net rate (period 7),Rate,,,rate,7,0,7,0.4020922699219514,0.06410713984139745,0.016067620468035126,0.3966750873213641,0.06711495739641948,0.006446246824608108,0.39776901596252473,0.06533508681311122,0.03296586168814007,-0.0054171826005873225,-0.08450201668627798,-0.0807149823338236,0.0010939286411606464,0.016299327059082755,0.016743356357508055,-0.004323253959426676,-0.06743794794343512,-0.06617047853312258,True
dv.net,constant dv.net rate (period 8),Rate,,,rate,8,0,8,0.3147034488964501,0.055869928180795454,0.11228053001026655,0.3074164052052594,0.05379837171752832,-0.018038074419259382,0.3085642206442121,0.050366679786437045,0.026392044776309305,-0.007287043691190653,-0.13042872844958261,-0.13545100824708464,0.0011478154389526485,0.021335505189252278,0.02278918213032055,-0.006139228252238005,-0.10988430542404533,-0.12189066816135859,True
dv.net,constant dv.net rate (period 9),Rate,,,rate,9,0,9,0.3307445163082241,0.053445905785558655,0.06161449777148547,0.32872531339810984,0.054831245776507095,0.09662731744696514,0.3268870676838705,0.053432223300916085,0.038154697718926045,-0.0020192029101142595,-0.037780310398628475,-0.03682577117332986,-0.0018382457142393505,-0.033525514297670075,-0.03440331696262832,-0.00385744862435361,-0.07217481989791463,-0.0721933018326691,False
dv.net,constant dv.net rate (period 10),Rate,,,rate,10,0,10,0.27543971863807604,0.04761866392200911,0.007452390786767455,0.2759997519382403,0.049102091308028964,0.027332170347211977,0.2745249963418704,0.04861556550973834,0.0036949506136729183,0.0005600333001642421,0.011760794067668024,0.011405487734748844,-0.0014747555963698922,-0.03003447627349319,-0.03033504970901715,-0.00091472229620565,-0.01920932300208595,-0.018815420259225803,True
