"name","effectName","functionName","shortName","interaction1","interaction2","type","basicRate","include","randomEffects","fix","test","timeDummy","initialValue","parm","functionType","period","rateType","untrimmedValue","effect1","effect2","effect3","interactionType","local","setting","netType","groupName","group","effectNumber",".spec_key",".spec_role","requested","estimate","standard_error"
"dv.net","constant dv.net rate (period 1)","Amount of network change in period 1","Rate","","","rate",TRUE,TRUE,FALSE,FALSE,FALSE,",",0.0593541260933511,0,"rate","1",NA,0,0,0,0,"",FALSE,"","oneMode","Group1",1,1,"dv.net|rate|Rate|||0|1|1","original_control_or_spending",TRUE,0.0593541260933511,0.0279433809619071
"dv.net","constant dv.net rate (period 2)","Amount of network change in period 2","Rate","","","rate",TRUE,TRUE,FALSE,FALSE,FALSE,",",0.172973015659155,0,"rate","2",NA,0,0,0,0,"",FALSE,"","oneMode","Group1",1,2,"dv.net|rate|Rate|||0|1|2","original_control_or_spending",TRUE,0.172973015659155,0.0415197746954059
"dv.net","constant dv.net rate (period 3)","Amount of network change in period 3","Rate","","","rate",TRUE,TRUE,FALSE,FALSE,FALSE,",",0.563016339382964,0,"rate","3",NA,0,0,0,0,"",FALSE,"","oneMode","Group1",1,3,"dv.net|rate|Rate|||0|1|3","original_control_or_spending",TRUE,0.563016339382964,0.118877800004807
"dv.net","constant dv.net rate (period 4)","Amount of network change in period 4","Rate","","","rate",TRUE,TRUE,FALSE,FALSE,FALSE,",",0.403915064196734,0,"rate","4",NA,0,0,0,0,"",FALSE,"","oneMode","Group1",1,4,"dv.net|rate|Rate|||0|1|4","original_control_or_spending",TRUE,0.403915064196734,0.0597641347351354
"dv.net","constant dv.net rate (period 5)","Amount of network change in period 5","Rate","","","rate",TRUE,TRUE,FALSE,FALSE,FALSE,",",0.382157498993362,0,"rate","5",NA,0,0,0,0,"",FALSE,"","oneMode","Group1",1,5,"dv.net|rate|Rate|||0|1|5","original_control_or_spending",TRUE,0.382157498993362,0.0742690545604072
"dv.net","constant dv.net rate (period 6)","Amount of network change in period 6","Rate","","","rate",TRUE,TRUE,FALSE,FALSE,FALSE,",",0.373042218076568,0,"rate","6",NA,0,0,0,0,"",FALSE,"","oneMode","Group1",1,6,"dv.net|rate|Rate|||0|1|6","original_control_or_spending",TRUE,0.373042218076568,0.0706701192276831
"dv.net","constant dv.net rate (period 7)","Amount of network change in period 7","Rate","","","rate",TRUE,TRUE,FALSE,FALSE,FALSE,",",0.46314714394372,0,"rate","7",NA,0,0,0,0,"",FALSE,"","oneMode","Group1",1,7,"dv.net|rate|Rate|||0|1|7","original_control_or_spending",TRUE,0.46314714394372,0.0773749486834379
"dv.net","constant dv.net rate (period 8)","Amount of network change in period 8","Rate","","","rate",TRUE,TRUE,FALSE,FALSE,FALSE,",",0.35481581861668,0,"rate","8",NA,0,0,0,0,"",FALSE,"","oneMode","Group1",1,8,"dv.net|rate|Rate|||0|1|8","original_control_or_spending",TRUE,0.35481581861668,0.06252212781477
"dv.net","constant dv.net rate (period 9)","Amount of network change in period 9","Rate","","","rate",TRUE,TRUE,FALSE,FALSE,FALSE,",",0.374746704697411,0,"rate","9",NA,0,0,0,0,"",FALSE,"","oneMode","Group1",1,9,"dv.net|rate|Rate|||0|1|9","original_control_or_spending",TRUE,0.374746704697411,0.0634791486281112
"dv.net","constant dv.net rate (period 10)","Amount of network change in period 10","Rate","","","rate",TRUE,TRUE,FALSE,FALSE,FALSE,",",0.315965573377566,0,"rate","10",NA,0,0,0,0,"",FALSE,"","oneMode","Group1",1,10,"dv.net|rate|Rate|||0|1|10","original_control_or_spending",TRUE,0.315965573377566,0.0563637669396583
