"ccode1","ccode2","eligible","origin","label","probability"
"2","20",TRUE,0,0,0
"2","31",TRUE,0,0,0.091
"20","31",TRUE,0,0,0.001
"2","41",TRUE,0,0,0.079
"20","41",TRUE,0,0,0.008
"31","41",TRUE,0,0,0
"2","42",TRUE,0,0,0.07
"20","42",TRUE,0,0,0.004
"31","42",TRUE,0,0,0.001
"41","42",TRUE,0,0,0.017
"2","51",TRUE,0,0,0.062
"20","51",TRUE,0,0,0.004
"31","51",TRUE,0,0,0.006
"41","51",TRUE,0,0,0.003
"42","51",TRUE,0,0,0.007
"2","52",TRUE,0,0,0.057
"20","52",TRUE,0,0,0.003
"31","52",TRUE,0,0,0.002
"41","52",TRUE,0,0,0.002
"42","52",TRUE,0,0,0.005
"51","52",TRUE,0,0,0.003
"2","53",TRUE,0,0,0.05
"20","53",TRUE,0,0,0.002
"31","53",TRUE,0,0,0
"41","53",TRUE,0,0,0
"42","53",TRUE,0,0,0.001
"51","53",TRUE,0,0,0.003
"52","53",TRUE,0,0,0.012
"2","70",TRUE,0,0,0.051
"20","70",TRUE,0,0,0.005
"31","70",TRUE,0,0,0.028
"41","70",TRUE,0,0,0.014
"42","70",TRUE,0,0,0.024
"51","70",TRUE,0,0,0.019
"52","70",TRUE,0,0,0.012
"53","70",TRUE,0,0,0.011
"2","80",TRUE,0,0,0.051
"20","80",TRUE,0,0,0
"31","80",TRUE,0,0,0
"41","80",TRUE,0,0,0
"42","80",TRUE,0,0,0.004
"51","80",TRUE,0,0,0.001
"52","80",TRUE,0,0,0.001
"53","80",TRUE,0,0,0
"70","80",TRUE,0,0,0.042
"2","90",TRUE,0,0,0.194
"20","90",TRUE,0,0,0
"31","90",TRUE,0,0,0.001
"41","90",TRUE,0,0,0.004
"42","90",TRUE,0,0,0.007
"51","90",TRUE,0,0,0.007
"52","90",TRUE,0,0,0.004
"53","90",TRUE,0,0,0.002
"70","90",TRUE,0,0,0.015
"80","90",TRUE,0,0,0.021
"2","91",TRUE,0,0,0.104
