"ccode1","ccode2","eligible","origin","label","probability"
"2","20",TRUE,0,0,0.001
"2","31",TRUE,0,0,0.061
"20","31",TRUE,0,0,0.001
"2","41",TRUE,0,0,0.061
"20","41",TRUE,0,0,0.003
"31","41",TRUE,0,0,0
"2","42",TRUE,0,0,0.067
"20","42",TRUE,0,0,0.004
"31","42",TRUE,0,0,0.002
"41","42",TRUE,0,0,0.013
"2","51",TRUE,0,0,0.045
"20","51",TRUE,0,0,0
"31","51",TRUE,0,0,0
"41","51",TRUE,0,0,0.002
"42","51",TRUE,0,0,0.004
"2","52",TRUE,0,0,0.047
"20","52",TRUE,0,0,0.001
"31","52",TRUE,0,0,0.003
"41","52",TRUE,0,0,0.002
"42","52",TRUE,0,0,0.003
"51","52",TRUE,0,0,0.004
"2","53",TRUE,0,0,0.033
"20","53",TRUE,0,0,0
"31","53",TRUE,0,0,0.001
"41","53",TRUE,0,0,0
"42","53",TRUE,0,0,0.001
"51","53",TRUE,0,0,0
"52","53",TRUE,0,0,0.014
"2","70",TRUE,0,0,0.056
"20","70",TRUE,0,0,0.001
"31","70",TRUE,0,0,0.007
"41","70",TRUE,0,0,0.008
"42","70",TRUE,0,0,0.018
"51","70",TRUE,0,0,0.015
"52","70",TRUE,0,0,0.006
"53","70",TRUE,0,0,0.014
"2","80",TRUE,0,0,0.052
"20","80",TRUE,0,0,0.002
"31","80",TRUE,0,0,0.002
"41","80",TRUE,0,0,0
"42","80",TRUE,0,0,0.002
"51","80",TRUE,0,0,0.001
"52","80",TRUE,0,0,0
"53","80",TRUE,0,0,0
"70","80",TRUE,0,0,0.032
"2","90",TRUE,0,0,0.026
"20","90",TRUE,0,0,0
"31","90",TRUE,0,0,0.005
"41","90",TRUE,0,0,0.003
"42","90",TRUE,0,0,0.004
"51","90",TRUE,0,0,0
"52","90",TRUE,0,0,0.001
"53","90",TRUE,0,0,0.001
"70","90",TRUE,0,0,0.04
"80","90",TRUE,0,0,0.016
"2","91",TRUE,0,0,0.048
"20","91",TRUE,0,0,0.003
"31","91",TRUE,0,0,0.002
"41","91",TRUE,0,0,0
"42","91",TRUE,0,0,0.003
"51","91",TRUE,0,0,0.003
"52","91",TRUE,0,0,0
"53","91",TRUE,0,0,0
"70","91",TRUE,0,0,0.032
"80","91",TRUE,0,0,0.006
"90","91",TRUE,0,0,0.015
"2","92",TRUE,0,0,0.048
"20","92",TRUE,0,0,0
"31","92",TRUE,0,0,0.001
"41","92",TRUE,0,0,0.001
"42","92",TRUE,0,0,0.002
"51","92",TRUE,0,0,0
"52","92",TRUE,0,0,0.003
"53","92",TRUE,0,0,0
"70","92",TRUE,0,0,0.045
"80","92",TRUE,0,0,0.006
"90","92",TRUE,0,0,0.041
"91","92",TRUE,0,0,0.022
"2","93",TRUE,0,0,0.038
"20","93",TRUE,0,0,0.002
"31","93",TRUE,0,0,0.001
"41","93",TRUE,0,0,0.002
"42","93",TRUE,0,0,0.001
"51","93",TRUE,0,0,0.001
"52","93",TRUE,0,0,0.002
"53","93",TRUE,0,0,0
"70","93",TRUE,0,0,0.03
"80","93",TRUE,0,0,0
"90","93",TRUE,0,0,0.012
"91","93",TRUE,0,0,0.02
"92","93",TRUE,0,0,0.027
"2","94",TRUE,0,0,0.05
"20","94",TRUE,0,0,0.001
"31","94",TRUE,0,0,0
"41","94",TRUE,0,0,0.001
"42","94",TRUE,0,0,0.003
"51","94",TRUE,0,0,0
"52","94",TRUE,0,0,0.001
"53","94",TRUE,0,0,0.001
"70","94",TRUE,0,0,0.025
"80","94",TRUE,0,0,0.004
"90","94",TRUE,0,0,0.008
"91","94",TRUE,0,0,0.005
"92","94",TRUE,0,0,0.004
"93","94",TRUE,0,0,0.014
"2","95",TRUE,0,0,0.036
"20","95",TRUE,0,0,0.001
"31","95",TRUE,0,0,0.001
"41","95",TRUE,0,0,0.001
"42","95",TRUE,0,0,0.004
"51","95",TRUE,0,0,0.004
"52","95",TRUE,0,0,0.001
"53","95",TRUE,0,0,0.001
"70","95",TRUE,0,0,0.023
"80","95",TRUE,0,0,0
"90","95",TRUE,0,0,0.002
"91","95",TRUE,0,0,0.001
"92","95",TRUE,0,0,0.003
"93","95",TRUE,0,0,0.004
"94","95",TRUE,0,0,0.006
"2","100",TRUE,0,0,0.026
"20","100",TRUE,0,0,0
"31","100",TRUE,0,0,0.005
"41","100",TRUE,0,0,0.009
"42","100",TRUE,0,0,0.008
"51","100",TRUE,0,0,0.017
"52","100",TRUE,0,0,0.018
"53","100",TRUE,0,0,0.011
"70","100",TRUE,0,0,0.014
"80","100",TRUE,0,0,0.01
"90","100",TRUE,0,0,0.005
"91","100",TRUE,0,0,0.005
"92","100",TRUE,0,0,0.007
"93","100",TRUE,0,0,0.012
"94","100",TRUE,0,0,0.008
"95","100",TRUE,0,0,0.031
"2","101",TRUE,0,0,0.018
"20","101",TRUE,0,0,0
"31","101",TRUE,0,0,0.002
"41","101",TRUE,0,0,0.001
"42","101",TRUE,0,0,0.005
"51","101",TRUE,0,0,0.003
"52","101",TRUE,0,0,0.006
"53","101",TRUE,0,0,0.003
"70","101",TRUE,0,0,0
"80","101",TRUE,0,0,0.001
"90","101",TRUE,0,0,0.001
"91","101",TRUE,0,0,0
"92","101",TRUE,0,0,0.003
"93","101",TRUE,0,0,0
"94","101",TRUE,0,0,0.003
"95","101",TRUE,0,0,0.004
"100","101",TRUE,0,0,0.007
"2","115",TRUE,0,0,0.027
"20","115",TRUE,0,0,0.005
"31","115",TRUE,0,0,0
"41","115",TRUE,0,0,0.001
"42","115",TRUE,0,0,0
"51","115",TRUE,0,0,0
"52","115",TRUE,0,0,0.002
"53","115",TRUE,0,0,0
"70","115",TRUE,0,0,0.005
"80","115",TRUE,0,0,0
"90","115",TRUE,0,0,0
"91","115",TRUE,0,0,0
"92","115",TRUE,0,0,0
"93","115",TRUE,0,0,0.002
"94","115",TRUE,0,0,0.001
"95","115",TRUE,0,0,0
"100","115",TRUE,0,0,0.012
"101","115",TRUE,0,0,0.002
"2","130",TRUE,0,0,0.027
"20","130",TRUE,0,0,0.003
"31","130",TRUE,0,0,0.004
"41","130",TRUE,0,0,0.001
"42","130",TRUE,0,0,0
"51","130",TRUE,0,0,0.001
"52","130",TRUE,0,0,0.004
"53","130",TRUE,0,0,0.004
"70","130",TRUE,0,0,0.023
"80","130",TRUE,0,0,0.003
"90","130",TRUE,0,0,0.004
"91","130",TRUE,0,0,0.004
"92","130",TRUE,0,0,0.005
"93","130",TRUE,0,0,0.004
"94","130",TRUE,0,0,0.003
"95","130",TRUE,0,0,0.012
"100","130",TRUE,0,0,0.035
"101","130",TRUE,0,0,0.002
"115","130",TRUE,0,0,0.002
"2","135",TRUE,0,0,0.016
"20","135",TRUE,0,0,0
"31","135",TRUE,0,0,0
"41","135",TRUE,0,0,0.003
"42","135",TRUE,0,0,0.004
"51","135",TRUE,0,0,0.001
"52","135",TRUE,0,0,0.003
"53","135",TRUE,0,0,0.003
"70","135",TRUE,0,0,0.008
"80","135",TRUE,0,0,0.001
"90","135",TRUE,0,0,0.003
"91","135",TRUE,0,0,0.004
"92","135",TRUE,0,0,0.007
"93","135",TRUE,0,0,0.006
"94","135",TRUE,0,0,0.004
"95","135",TRUE,0,0,0.005
"100","135",TRUE,0,0,0.01
"101","135",TRUE,0,0,0.004
"115","135",TRUE,0,0,0.006
"130","135",TRUE,0,0,0.012
"2","140",TRUE,1,1,0.996
"20","140",TRUE,0,0,0
"31","140",TRUE,0,0,0.025
"41","140",TRUE,0,0,0.026
"42","140",TRUE,0,0,0.019
"51","140",TRUE,0,0,0.025
"52","140",TRUE,0,0,0.03
"53","140",TRUE,0,0,0.032
"70","140",TRUE,0,0,0.021
"80","140",TRUE,0,0,0.023
"90","140",TRUE,0,1,0.016
"91","140",TRUE,0,0,0.022
"92","140",TRUE,0,0,0.019
"93","140",TRUE,0,0,0.021
"94","140",TRUE,0,0,0.033
"95","140",TRUE,0,0,0.028
"100","140",TRUE,1,1,0.986
"101","140",TRUE,0,0,0.023
"115","140",TRUE,0,0,0.045
"130","140",TRUE,0,0,0.034
"135","140",TRUE,0,1,0.026
"2","145",TRUE,0,0,0.022
"20","145",TRUE,0,0,0
"31","145",TRUE,0,0,0
"41","145",TRUE,0,0,0.001
"42","145",TRUE,0,0,0.001
"51","145",TRUE,0,0,0
"52","145",TRUE,0,0,0.001
"53","145",TRUE,0,0,0.001
"70","145",TRUE,0,0,0.009
"80","145",TRUE,0,0,0
"90","145",TRUE,0,0,0.001
"91","145",TRUE,0,0,0.001
"92","145",TRUE,0,0,0.001
"93","145",TRUE,0,0,0.002
"94","145",TRUE,0,0,0.002
"95","145",TRUE,0,0,0.001
"100","145",TRUE,0,0,0.009
"101","145",TRUE,0,0,0.001
"115","145",TRUE,0,0,0.003
"130","145",TRUE,0,0,0.003
"135","145",TRUE,0,0,0.009
"140","145",TRUE,0,0,0.033
"2","150",TRUE,0,0,0.014
"20","150",TRUE,0,0,0.001
"31","150",TRUE,0,0,0.001
"41","150",TRUE,0,0,0.001
"42","150",TRUE,0,0,0.002
"51","150",TRUE,0,0,0
"52","150",TRUE,0,0,0.001
"53","150",TRUE,0,0,0
"70","150",TRUE,0,0,0.009
"80","150",TRUE,0,0,0
"90","150",TRUE,0,0,0
"91","150",TRUE,0,0,0
"92","150",TRUE,0,0,0
"93","150",TRUE,0,0,0
"94","150",TRUE,0,0,0.001
"95","150",TRUE,0,0,0
"100","150",TRUE,0,0,0.004
"101","150",TRUE,0,0,0
"115","150",TRUE,0,0,0.001
"130","150",TRUE,0,0,0.003
"135","150",TRUE,0,0,0.007
"140","150",TRUE,0,0,0.083
"145","150",TRUE,0,0,0.001
"2","155",TRUE,0,0,0.009
"20","155",TRUE,0,0,0
"31","155",TRUE,0,0,0.004
"41","155",TRUE,0,0,0.006
"42","155",TRUE,0,0,0.004
"51","155",TRUE,0,0,0.001
"52","155",TRUE,0,0,0.002
"53","155",TRUE,0,0,0.002
"70","155",TRUE,0,0,0.008
"80","155",TRUE,0,0,0.004
"90","155",TRUE,1,1,0.852
"91","155",TRUE,0,0,0.005
"92","155",TRUE,0,0,0.004
"93","155",TRUE,0,0,0.003
"94","155",TRUE,0,0,0.005
"95","155",TRUE,0,0,0.006
"100","155",TRUE,0,0,0.002
"101","155",TRUE,0,0,0.002
"115","155",TRUE,0,0,0.003
"130","155",TRUE,0,0,0.004
"135","155",TRUE,0,0,0.009
"140","155",TRUE,0,0,0.013
"145","155",TRUE,0,0,0.002
"150","155",TRUE,0,0,0.012
"2","160",TRUE,0,0,0.012
"20","160",TRUE,0,0,0
"31","160",TRUE,0,0,0.001
"41","160",TRUE,0,0,0.003
"42","160",TRUE,0,0,0.001
"51","160",TRUE,0,0,0.002
"52","160",TRUE,0,0,0.006
"53","160",TRUE,0,0,0.001
"70","160",TRUE,0,0,0.006
"80","160",TRUE,0,0,0.009
"90","160",TRUE,0,0,0.002
"91","160",TRUE,0,1,0.003
"92","160",TRUE,0,0,0.004
"93","160",TRUE,0,0,0.006
"94","160",TRUE,0,0,0.004
"95","160",TRUE,0,0,0.002
"100","160",TRUE,0,0,0.008
"101","160",TRUE,1,1,0.908
"115","160",TRUE,0,0,0.008
"130","160",TRUE,0,0,0.006
"135","160",TRUE,0,0,0.01
"140","160",TRUE,1,1,0.996
"145","160",TRUE,0,0,0.018
"150","160",TRUE,0,0,0.036
"155","160",TRUE,0,0,0.023
"2","165",TRUE,0,0,0.007
"20","165",TRUE,0,0,0
"31","165",TRUE,0,0,0.001
"41","165",TRUE,0,0,0
"42","165",TRUE,0,0,0
"51","165",TRUE,0,0,0
"52","165",TRUE,0,0,0.003
"53","165",TRUE,0,0,0
"70","165",TRUE,0,0,0.004
"80","165",TRUE,0,0,0
"90","165",TRUE,0,0,0
"91","165",TRUE,0,0,0.001
"92","165",TRUE,0,0,0.001
"93","165",TRUE,0,0,0
"94","165",TRUE,0,0,0
"95","165",TRUE,0,0,0
"100","165",TRUE,0,0,0.001
"101","165",TRUE,0,0,0.001
"115","165",TRUE,0,0,0.001
"130","165",TRUE,0,0,0.001
"135","165",TRUE,0,0,0.001
"140","165",TRUE,0,0,0.044
"145","165",TRUE,0,0,0
"150","165",TRUE,0,0,0.008
"155","165",TRUE,0,0,0.008
"160","165",TRUE,0,0,0.079
"2","200",TRUE,1,1,0.998
"20","200",TRUE,0,0,0
"31","200",TRUE,0,0,0.002
"41","200",TRUE,0,0,0.003
"42","200",TRUE,0,0,0.004
"51","200",TRUE,0,0,0.002
"52","200",TRUE,0,0,0.002
"53","200",TRUE,0,0,0.003
"70","200",TRUE,0,0,0.001
"80","200",TRUE,0,0,0
"90","200",TRUE,0,0,0
"91","200",TRUE,0,0,0
"92","200",TRUE,0,0,0.001
"93","200",TRUE,0,0,0
"94","200",TRUE,0,0,0.006
"95","200",TRUE,0,0,0.002
"100","200",TRUE,0,0,0.001
"101","200",TRUE,0,0,0
"115","200",TRUE,0,0,0.001
"130","200",TRUE,0,0,0
"135","200",TRUE,0,0,0
"140","200",TRUE,0,0,0.001
"145","200",TRUE,0,0,0
"150","200",TRUE,0,0,0.001
"155","200",TRUE,0,0,0
"160","200",TRUE,1,1,0.988
"165","200",TRUE,0,0,0.001
"2","205",TRUE,0,0,0.002
"20","205",TRUE,0,0,0
"31","205",TRUE,0,0,0
"41","205",TRUE,0,0,0
"42","205",TRUE,0,0,0
"51","205",TRUE,0,0,0.001
"52","205",TRUE,0,0,0
"53","205",TRUE,0,0,0
"70","205",TRUE,0,0,0
"80","205",TRUE,0,0,0
"90","205",TRUE,0,0,0
"91","205",TRUE,0,0,0
"92","205",TRUE,0,0,0
"93","205",TRUE,0,0,0
"94","205",TRUE,0,0,0
"95","205",TRUE,0,0,0
"100","205",TRUE,0,0,0
"101","205",TRUE,0,0,0
"115","205",TRUE,0,0,0.001
"130","205",TRUE,0,0,0
"135","205",TRUE,0,0,0
"140","205",TRUE,0,0,0.001
